"e","a","q","i"
0.0788,2.767,2.549,10.59
0.2301,2.77,2.132,34.93
0.2565,2.67,1.985,12.99
0.0888,2.363,2.153,7.14
0.1879,2.579,2.094,5.36
0.2028,2.425,1.934,14.74
0.2297,2.387,1.839,5.52
0.1564,2.201,1.857,5.89
0.1234,2.387,2.092,5.58
0.1112,3.14,2.791,3.83
0.0994,2.453,2.209,4.63
0.2205,2.333,1.819,8.37
0.0856,2.576,2.355,16.54
0.1655,2.586,2.158,9.12
0.1870,2.643,2.149,11.75
0.1341,2.924,2.532,3.10
0.1326,2.471,2.144,5.59
0.2182,2.295,1.794,10.13
0.1572,2.443,2.059,1.57
0.1433,2.409,2.063,0.71
0.1636,2.435,2.036,3.06
0.0986,2.911,2.624,13.70
0.2311,2.629,2.022,10.11
0.1178,3.153,2.781,0.75
0.2546,2.4,1.789,21.61
0.0891,2.654,2.418,3.56
0.1713,2.347,1.945,1.58
0.1510,2.776,2.357,9.43
0.0737,2.554,2.366,6.08
0.1272,2.365,2.064,2.09
0.2163,3.161,2.477,26.32
0.0817,2.588,2.376,5.52
0.3317,2.874,1.921,1.85
0.1066,2.687,2.401,5.50
0.2243,2.996,2.324,7.93
0.3060,2.746,1.905,18.37
0.1757,2.643,2.179,3.07
0.1513,2.743,2.328,6.95
0.1120,2.769,2.459,10.37
0.0463,2.267,2.162,4.26
0.2744,2.761,2.004,15.79
0.2224,2.443,1.900,8.51
0.1687,2.203,1.831,3.47
0.1491,2.423,2.062,3.71
0.0834,2.721,2.494,6.61
0.1727,2.525,2.089,2.35
0.1300,2.88,2.506,4.98
0.0683,3.117,2.904,6.56
0.2217,3.099,2.412,3.20
0.2852,2.651,1.895,2.84
0.0674,2.365,2.206,9.98
0.1110,3.094,2.750,7.48
0.2025,2.619,2.088,5.18
0.1968,2.711,2.177,11.80
0.1441,2.758,2.361,7.18
0.2375,2.597,1.980,8.08
0.1087,3.153,2.810,15.24
0.0450,2.699,2.577,5.07
0.1172,2.713,2.395,8.65
0.1851,2.392,1.949,3.60
0.1645,2.986,2.494,18.21
0.1681,3.131,2.604,2.24
0.1281,2.394,2.087,5.77
0.1258,2.681,2.343,1.31
0.1190,3.435,3.026,3.56
0.1731,2.647,2.189,3.05
0.1846,2.422,1.975,6.03
0.1848,2.784,2.269,7.96
0.1701,2.975,2.469,8.59
0.1809,2.616,2.143,11.60
0.1763,2.754,2.269,23.24
0.1210,2.267,1.993,5.42
0.0420,2.665,2.553,2.37
0.2363,2.782,2.124,4.07
0.3036,2.674,1.862,4.99
0.1667,3.413,2.844,2.12
0.1334,2.667,2.311,2.42
0.2037,2.624,2.089,8.68
0.1907,2.444,1.978,4.61
0.2000,2.296,1.837,8.68
